n,h,op
50,50,140
75,75,251
100,100,376
125,125,501
150,150,648
175,175,798
200,200,948
225,225,1098
250,250,1248
275,275,1417
300,300,1592
325,325,1767
350,350,1942
375,375,2117
400,400,2292
425,425,2467
450,450,2642
475,475,2817
500,500,2992
525,525,3180
550,550,3380
575,575,3580
600,600,3780
625,625,3980
650,650,4180
675,675,4380
700,700,4580
725,725,4780
750,750,4980
775,775,5180
800,800,5380
825,825,5580
850,850,5780
875,875,5980
900,900,6180
925,925,6380
950,950,6580
975,975,6780
1000,1000,6980
1025,1025,7181
1050,1050,7406
1075,1075,7631
1100,1100,7856
1125,1125,8081
1150,1150,8307
1175,1175,8531
1200,1200,8756
1225,1225,8982
1250,1250,9209
1275,1275,9431
1300,1300,9656
1325,1325,9881
1350,1350,10106
1375,1375,10334
1400,1400,10556
1425,1425,10781
1450,1450,11006
1475,1475,11231
1500,1500,11456
1525,1525,11682
1550,1550,11916
1575,1575,12205
1600,1600,12424
1625,1625,12678
1650,1650,13011
1675,1675,13231
1700,1700,13432
1725,1725,13657
1750,1750,13905
1775,1775,14113
1800,1800,14296
1825,1825,14478
1850,1850,14696
1875,1875,14903
1900,1900,15124
1925,1925,15463
1950,1950,15706
1975,1973,15964
2000,1992,16388
