n,h,op,2nh
50,50,5000,5000
75,75,11250,11250
100,100,20000,20000
125,125,31250,31250
150,150,45000,45000
175,175,61250,61250
200,200,80000,80000
225,225,101250,101250
250,250,125000,125000
275,275,151250,151250
300,300,180000,180000
325,325,211250,211250
350,350,245000,245000
375,375,281250,281250
400,400,320000,320000
425,425,361250,361250
450,450,405000,405000
475,475,451250,451250
500,500,500000,500000
525,525,551250,551250
550,550,605000,605000
575,575,661250,661250
600,600,720000,720000
625,625,781250,781250
650,650,845000,845000
675,675,911250,911250
700,700,980000,980000
725,725,1051250,1051250
750,750,1125000,1125000
775,775,1201250,1201250
800,800,1280000,1280000
825,825,1361250,1361250
850,850,1445000,1445000
875,875,1531250,1531250
900,900,1620000,1620000
925,925,1711250,1711250
950,950,1805000,1805000
975,975,1901250,1901250
1000,1000,2000000,2000000
1025,1025,2101250,2101250
1050,1050,2205000,2205000
1075,1075,2311250,2311250
1100,1100,2420000,2420000
1125,1125,2531250,2531250
1150,1150,2645000,2645000
1175,1175,2761250,2761250
1200,1200,2880000,2880000
1225,1225,3001250,3001250
1250,1250,3125000,3125000
1275,1275,3251250,3251250
1300,1300,3380000,3380000
1325,1325,3511250,3511250
1350,1350,3645000,3645000
1375,1375,3781250,3781250
1400,1400,3920000,3920000
1425,1425,4061250,4061250
1450,1450,4205000,4205000
1475,1475,4351250,4351250
1500,1500,4500000,4500000
1525,1525,4651250,4651250
1550,1550,4805000,4805000
1575,1575,4961250,4961250
1600,1600,5120000,5120000
1625,1625,5281250,5281250
1650,1650,5445000,5445000
1675,1675,5611250,5611250
1700,1700,5780000,5780000
1725,1725,5951250,5951250
1750,1750,6125000,6125000
1775,1775,6301250,6301250
1800,1800,6480000,6480000
1825,1825,6661250,6661250
1850,1850,6845000,6845000
1875,1875,7031250,7031250
1900,1900,7220000,7220000
1925,1925,7411250,7411250
1950,1950,7605000,7605000
1975,1973,7793350,7793350
2000,1988,7952000,7952000
